student_id,year,term,department,program,student_type,gender,race_ethnicity,age,residency_status,first_generation,financial_aid,unmet_financial_need,credits_attempted,credits_completed,completion_rate,attendance_rate,engagement_score,advising_visits,tutoring_visits,online_courses,gpa,risk_level,retention_probability,retained,graduation_probability,graduated
S00018,2026,Spring,Public Health,MS Epidemiology,Graduate,Male,Hispanic/Latino,27,In-state,No,No,5893.0,27,24,90.7,82.3,64.2,1,1,1,3.52,Low,0.718,Yes,0.565,Yes
S00019,2022,Spring,Social Work,BSW,Undergraduate,Female,White,22,In-state,Yes,No,5423.0,33,32,96.5,82.9,76.9,3,4,2,2.13,Medium,0.517,No,0.342,No
S00020,2022,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Hispanic/Latino,18,Out-of-state,No,No,6109.0,24,22,91.4,66.8,77.7,0,0,0,2.91,Medium,0.492,No,0.33,No
S00021,2025,Spring,Social Work,MSW,Graduate,Male,White,31,Out-of-state,Yes,Yes,1691.0,21,21,98.4,96.4,85.2,4,1,2,3.26,Low,0.855,Yes,0.689,Yes
S00022,2023,Spring,Data Science,BS Health Data Science,Undergraduate,Female,Multiracial,25,Out-of-state,No,Yes,4934.0,32,28,86.9,65.9,50.2,5,4,0,3.24,Medium,0.555,Yes,0.444,Yes
S00023,2024,Spring,Health Administration,BS Health Administration,Undergraduate,Male,Multiracial,24,Out-of-state,No,No,10364.0,31,28,91.8,78.4,70.6,3,2,2,3.21,Medium,0.595,No,0.545,Yes
S00024,2025,Fall,Health Administration,BS Health Administration,Undergraduate,Male,Multiracial,21,In-state,Yes,Yes,3418.0,33,33,100.0,80.8,68.9,6,1,1,3.31,Low,0.777,Yes,0.664,Yes
S00025,2023,Spring,Data Science,BS Health Data Science,Undergraduate,Female,White,19,In-state,No,Yes,0.0,31,30,96.7,100.0,66.7,1,2,0,2.41,Low,0.688,Yes,0.429,Yes
S00026,2022,Spring,Data Science,BS Health Data Science,Undergraduate,Female,Black,19,In-state,No,Yes,6415.0,31,27,88.7,100.0,53.7,0,1,1,3.38,Low,0.711,Yes,0.597,No
S00027,2023,Spring,Public Health,BS Public Health,Undergraduate,Female,White,19,In-state,Yes,No,10453.0,31,31,100.0,78.0,100.0,5,1,0,3.21,Medium,0.72,Yes,0.693,No
S00028,2025,Fall,Health Administration,BS Health Administration,Undergraduate,Female,Hispanic/Latino,20,In-state,No,Yes,1930.0,31,31,100.0,90.9,67.4,2,0,3,3.98,Low,0.835,Yes,0.777,No
S00029,2024,Spring,Social Work,BSW,Undergraduate,Nonbinary,White,20,Out-of-state,No,Yes,3289.0,33,33,100.0,76.2,80.7,2,1,3,3.26,Low,0.724,Yes,0.589,Yes
S00030,2025,Fall,Social Work,MSW,Graduate,Male,White,29,In-state,No,No,5103.0,21,20,96.8,77.9,51.1,3,0,3,3.07,Low,0.635,No,0.392,Yes
S00031,2026,Fall,Data Science,MS Health Data Science,Graduate,Male,Multiracial,31,Out-of-state,Yes,Yes,1595.0,18,18,100.0,86.5,67.2,2,0,2,3.83,Low,0.82,Yes,0.66,No
S00032,2025,Fall,Nutrition,MS Nutrition,Graduate,Female,Multiracial,31,In-state,No,No,11702.0,21,21,97.7,84.2,60.5,0,0,3,3.44,Medium,0.576,Yes,0.504,No
S00033,2022,Fall,Health Administration,MHA,Graduate,Female,Asian,29,In-state,No,No,726.0,24,24,100.0,86.0,90.7,4,0,3,3.53,Low,0.862,Yes,0.725,Yes
S00034,2024,Spring,Nutrition,BS Nutrition,Undergraduate,Male,Multiracial,22,In-state,Yes,Yes,4737.0,31,28,90.2,68.6,100.0,4,3,3,2.46,High,0.488,No,0.278,No
S00035,2023,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Black,21,International,No,Yes,7860.0,33,32,95.6,82.4,100.0,4,1,2,2.99,Low,0.763,No,0.654,Yes
S00036,2025,Spring,Nutrition,BS Nutrition,Undergraduate,Nonbinary,Black,18,In-state,No,Yes,4578.0,32,32,100.0,75.7,75.5,4,2,3,3.74,Low,0.786,No,0.713,Yes
S00037,2026,Spring,Health Administration,MHA,Graduate,Female,Black,25,In-state,No,Yes,10581.0,21,18,86.6,91.1,42.1,5,0,0,3.65,Medium,0.687,No,0.619,No
S00038,2023,Spring,Social Work,BSW,Undergraduate,Male,Black,19,Out-of-state,Yes,No,10895.0,33,32,97.5,74.3,57.0,2,2,2,2.71,Medium,0.42,No,0.349,No
S00039,2026,Fall,Nutrition,BS Nutrition,Undergraduate,Male,Hispanic/Latino,21,In-state,No,Yes,2104.0,24,24,100.0,87.9,71.0,0,0,0,3.48,Low,0.752,Yes,0.59,Yes
S00040,2023,Fall,Data Science,BS Health Data Science,Undergraduate,Female,Hispanic/Latino,21,Out-of-state,Yes,Yes,9337.0,27,27,100.0,78.3,67.8,3,3,0,4.0,Low,0.759,No,0.72,Yes
S00041,2024,Fall,Health Administration,MHA,Graduate,Nonbinary,White,26,Out-of-state,No,Yes,7343.0,24,24,100.0,94.8,63.3,2,1,4,3.52,Low,0.772,Yes,0.655,No
S00042,2026,Spring,Nutrition,MS Nutrition,Graduate,Female,White,30,In-state,No,No,12779.0,21,19,89.5,87.3,67.8,1,0,1,2.66,Medium,0.502,Yes,0.357,Yes
S00043,2026,Spring,Data Science,MS Health Data Science,Graduate,Male,Asian,22,In-state,No,Yes,1342.0,24,24,100.0,99.1,72.2,4,2,4,3.58,Low,0.867,Yes,0.75,Yes
S00044,2024,Spring,Nutrition,BS Nutrition,Undergraduate,Female,Multiracial,22,Out-of-state,No,No,8395.0,24,23,94.4,71.9,45.1,4,0,1,3.25,Low,0.579,Yes,0.416,Yes
S00045,2026,Fall,Health Administration,BS Health Administration,Undergraduate,Female,Multiracial,20,In-state,No,Yes,6860.0,32,28,87.5,84.4,75.2,3,0,1,2.54,Low,0.631,No,0.424,No
S00046,2026,Spring,Public Health,MS Epidemiology,Graduate,Female,Other/Unknown,40,In-state,No,No,10134.0,18,18,100.0,74.8,83.1,2,2,2,3.35,Medium,0.642,Yes,0.524,Yes
S00047,2026,Fall,Social Work,BSW,Undergraduate,Female,Other/Unknown,18,International,No,Yes,3839.0,24,24,99.2,92.5,78.2,3,2,3,3.11,Low,0.777,Yes,0.609,Yes
S00048,2025,Fall,Nutrition,BS Nutrition,Undergraduate,Male,Asian,23,In-state,No,Yes,2935.0,31,30,96.1,83.1,66.1,2,1,4,2.44,Low,0.597,Yes,0.353,Yes
S00049,2025,Spring,Data Science,BS Health Data Science,Undergraduate,Female,White,20,In-state,No,Yes,1924.0,33,28,84.2,75.0,75.5,1,3,2,1.92,Medium,0.43,Yes,0.205,No
S00050,2022,Fall,Social Work,MSW,Graduate,Male,White,29,In-state,Yes,No,7508.0,30,29,97.8,94.7,86.5,1,0,0,2.71,Low,0.716,Yes,0.537,Yes
S00051,2023,Spring,Public Health,BS Public Health,Undergraduate,Female,Asian,19,In-state,Yes,Yes,639.0,32,29,89.9,71.4,43.3,1,0,0,3.38,Medium,0.547,Yes,0.417,Yes
S00052,2022,Fall,Nutrition,MS Nutrition,Graduate,Male,White,35,In-state,Yes,Yes,965.0,18,17,94.6,93.1,60.6,4,2,1,4.0,Low,0.866,Yes,0.742,No
S00053,2025,Spring,Public Health,BS Public Health,Undergraduate,Female,White,21,In-state,Yes,Yes,11438.0,31,31,100.0,90.4,75.9,1,1,0,2.9,Medium,0.579,No,0.534,No
S00054,2025,Spring,Nutrition,BS Nutrition,Undergraduate,Female,Hispanic/Latino,18,In-state,Yes,No,4981.0,30,27,90.1,73.2,51.6,2,4,2,2.81,Medium,0.469,Yes,0.322,Yes
S00055,2024,Fall,Nutrition,BS Nutrition,Undergraduate,Female,Black,20,In-state,No,Yes,10586.0,30,27,88.8,72.8,75.6,2,0,1,3.47,Medium,0.602,No,0.57,Yes
S00056,2023,Fall,Public Health,BS Public Health,Undergraduate,Male,White,21,In-state,No,Yes,5417.0,32,28,88.4,68.8,77.8,1,0,3,2.16,High,0.307,No,0.14,No
S00057,2026,Fall,Nutrition,BS Nutrition,Undergraduate,Female,White,21,In-state,No,Yes,2344.0,24,21,86.1,62.6,39.1,3,2,0,2.75,High,0.304,No,0.13,No
S00058,2022,Fall,Public Health,BS Public Health,Undergraduate,Female,Other/Unknown,18,Out-of-state,No,Yes,8628.0,30,30,100.0,73.2,64.4,3,0,0,2.84,Medium,0.503,Yes,0.407,No
S00059,2022,Fall,Data Science,MS Health Data Science,Graduate,Male,Hispanic/Latino,28,In-state,Yes,Yes,3786.0,18,14,77.2,61.5,57.3,0,0,3,2.58,High,0.283,No,0.094,No
S00060,2024,Spring,Nutrition,BS Nutrition,Undergraduate,Female,White,20,International,No,No,15821.0,32,32,100.0,98.0,84.2,2,0,2,4.0,Low,0.813,Yes,0.847,Yes
S00061,2025,Spring,Social Work,MSW,Graduate,Male,Black,28,In-state,Yes,Yes,6374.0,27,24,90.1,77.1,60.3,2,2,4,3.75,Low,0.725,No,0.597,Yes
S00062,2026,Fall,Health Administration,MHA,Graduate,Male,Black,22,In-state,No,Yes,7735.0,30,30,100.0,78.5,32.2,1,2,2,4.0,Medium,0.596,Yes,0.59,Yes
S00063,2023,Spring,Public Health,BS Public Health,Undergraduate,Nonbinary,White,25,In-state,Yes,Yes,176.0,33,26,79.9,84.8,72.4,3,0,4,2.46,Medium,0.616,Yes,0.385,Yes
S00064,2022,Spring,Social Work,BSW,Undergraduate,Female,White,19,In-state,Yes,No,6530.0,24,22,89.8,82.0,79.3,2,0,1,2.69,Low,0.639,Yes,0.407,No
S00065,2022,Fall,Public Health,BS Public Health,Undergraduate,Female,Hispanic/Latino,23,In-state,Yes,Yes,6683.0,24,23,97.5,95.2,81.5,5,3,1,3.16,Low,0.807,Yes,0.676,No
S00066,2023,Fall,Health Administration,MHA,Graduate,Female,Black,30,Out-of-state,No,Yes,11919.0,21,21,100.0,73.0,94.2,4,2,2,3.65,Medium,0.727,Yes,0.679,Yes
S00067,2025,Spring,Nutrition,BS Nutrition,Undergraduate,Male,White,23,Out-of-state,Yes,No,10943.0,31,30,98.3,88.9,82.8,3,0,1,3.08,Low,0.717,Yes,0.629,Yes
S00068,2023,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Asian,18,In-state,No,No,9133.0,30,30,100.0,89.3,72.8,3,0,3,4.0,Low,0.813,Yes,0.796,Yes
S00069,2024,Spring,Social Work,BSW,Undergraduate,Male,White,19,In-state,No,Yes,4518.0,31,29,94.3,77.3,88.1,2,1,0,3.5,Low,0.768,Yes,0.656,Yes
S00070,2026,Spring,Nutrition,MS Nutrition,Graduate,Male,White,31,International,No,Yes,5845.0,21,18,86.6,74.8,68.9,4,2,4,3.58,Low,0.753,No,0.574,No
S00071,2022,Fall,Social Work,MSW,Graduate,Male,Black,25,In-state,No,Yes,0.0,27,27,100.0,100.0,70.4,2,0,2,3.81,Low,0.871,Yes,0.776,No
S00072,2023,Fall,Public Health,BS Public Health,Undergraduate,Male,Black,24,In-state,Yes,Yes,8760.0,32,31,96.6,100.0,100.0,5,0,0,2.44,Low,0.776,Yes,0.635,Yes
S00073,2026,Fall,Nutrition,BS Nutrition,Undergraduate,Female,White,18,In-state,No,Yes,1403.0,30,27,89.6,88.8,54.3,2,4,1,2.24,Medium,0.509,No,0.288,No
S00074,2025,Fall,Data Science,BS Health Data Science,Undergraduate,Male,White,22,Out-of-state,No,Yes,9115.0,31,28,89.1,77.0,85.8,3,2,1,3.21,Low,0.704,Yes,0.589,Yes
S00075,2025,Fall,Social Work,BSW,Undergraduate,Female,Multiracial,22,In-state,No,No,8022.0,27,25,92.1,100.0,44.2,1,4,1,2.92,Low,0.619,Yes,0.454,No
S00076,2022,Fall,Social Work,BSW,Undergraduate,Female,Asian,20,In-state,No,Yes,8080.0,24,22,92.2,69.9,46.7,0,2,3,2.66,High,0.251,Yes,0.127,No
S00077,2023,Fall,Data Science,BS Health Data Science,Undergraduate,Female,White,24,Out-of-state,No,Yes,5076.0,27,25,91.6,63.1,55.1,2,1,2,2.52,Medium,0.38,No,0.215,No
S00078,2026,Spring,Health Administration,MHA,Graduate,Female,Black,24,In-state,Yes,Yes,5746.0,18,13,73.8,64.3,64.1,2,2,4,2.95,Medium,0.499,No,0.273,No
S00079,2026,Spring,Data Science,BS Health Data Science,Undergraduate,Female,Hispanic/Latino,22,In-state,Yes,Yes,4453.0,33,28,83.9,86.1,59.0,1,0,1,2.86,Low,0.621,Yes,0.423,No
S00080,2026,Spring,Public Health,MPH,Graduate,Nonbinary,White,36,In-state,Yes,Yes,8333.0,30,27,91.6,67.1,52.7,0,0,2,2.91,High,0.302,Yes,0.177,No
S00081,2025,Spring,Nutrition,MS Nutrition,Graduate,Female,Multiracial,29,In-state,No,Yes,1803.0,30,29,95.9,76.4,67.8,2,4,4,3.22,Low,0.711,Yes,0.511,Yes
S00082,2026,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Black,21,In-state,Yes,Yes,4257.0,32,32,100.0,85.7,98.6,3,0,2,4.0,Low,0.875,Yes,0.843,No
S00083,2024,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Hispanic/Latino,20,In-state,No,No,10116.0,33,29,86.6,78.2,100.0,2,2,2,2.55,Medium,0.573,No,0.46,No
S00084,2024,Fall,Nutrition,MS Nutrition,Graduate,Male,Black,26,In-state,No,Yes,0.0,21,21,100.0,94.0,75.7,3,2,2,3.35,Low,0.837,Yes,0.65,No
S00085,2025,Spring,Social Work,BSW,Undergraduate,Female,White,22,In-state,Yes,Yes,6201.0,27,27,99.4,97.2,64.0,3,0,0,3.5,Low,0.787,Yes,0.697,Yes
S00086,2022,Spring,Social Work,BSW,Undergraduate,Female,Multiracial,19,In-state,No,No,5010.0,32,25,78.7,61.7,64.7,1,2,3,2.65,High,0.305,No,0.149,No
S00087,2022,Fall,Nutrition,BS Nutrition,Undergraduate,Female,White,20,In-state,No,Yes,2881.0,27,23,85.9,84.0,51.8,1,2,2,3.17,Low,0.648,Yes,0.434,Yes
S00088,2026,Fall,Nutrition,MS Nutrition,Graduate,Female,White,43,In-state,No,Yes,8984.0,18,16,88.3,95.8,72.4,3,3,2,3.09,Low,0.75,Yes,0.556,No
S00089,2024,Fall,Health Administration,BS Health Administration,Undergraduate,Female,Black,21,In-state,No,No,9604.0,24,24,100.0,89.3,75.1,3,0,0,3.08,Low,0.707,No,0.57,No
S00090,2026,Fall,Public Health,MS Epidemiology,Graduate,Female,Black,22,In-state,Yes,Yes,11151.0,18,18,100.0,65.0,98.8,3,1,1,4.0,Medium,0.74,Yes,0.696,Yes
S00091,2026,Fall,Nutrition,BS Nutrition,Undergraduate,Female,Black,18,In-state,No,Yes,5356.0,27,24,87.9,79.3,75.1,2,4,0,2.5,Medium,0.533,Yes,0.343,No
S00092,2024,Fall,Health Administration,BS Health Administration,Undergraduate,Male,Black,24,International,No,Yes,8429.0,27,27,100.0,86.9,42.7,3,0,1,2.87,Medium,0.509,No,0.405,Yes
S00093,2025,Fall,Public Health,BS Public Health,Undergraduate,Male,Multiracial,26,In-state,Yes,No,5101.0,33,33,99.0,79.5,86.5,2,1,0,3.08,Low,0.716,Yes,0.582,Yes
S00094,2025,Fall,Nutrition,BS Nutrition,Undergraduate,Male,Hispanic/Latino,20,Out-of-state,No,Yes,8295.0,30,30,100.0,100.0,62.4,3,1,1,3.52,Low,0.783,Yes,0.728,No
S00095,2024,Spring,Health Administration,BS Health Administration,Undergraduate,Male,Black,23,In-state,Yes,Yes,6993.0,27,27,100.0,85.5,51.8,6,5,2,3.88,Low,0.793,Yes,0.735,Yes
S00096,2022,Fall,Social Work,MSW,Graduate,Female,White,24,In-state,No,No,11450.0,30,28,92.9,83.5,68.6,3,1,3,2.8,Medium,0.56,No,0.463,Yes
S00097,2026,Fall,Social Work,BSW,Undergraduate,Female,White,19,In-state,No,Yes,561.0,24,24,100.0,99.3,85.8,0,2,0,3.84,Low,0.866,Yes,0.776,Yes
S00098,2023,Fall,Data Science,BS Health Data Science,Undergraduate,Female,Asian,18,In-state,No,No,5770.0,24,23,95.6,72.3,69.3,6,1,2,3.11,Low,0.698,Yes,0.505,No
S00099,2022,Fall,Social Work,MSW,Graduate,Female,Hispanic/Latino,28,Out-of-state,No,Yes,4975.0,21,20,93.5,76.9,61.8,0,0,3,3.06,Medium,0.547,No,0.362,Yes
S00100,2024,Spring,Public Health,BS Public Health,Undergraduate,Male,Hispanic/Latino,21,In-state,Yes,No,6792.0,27,23,86.8,80.9,50.2,3,1,0,2.19,Medium,0.41,Yes,0.226,No
S00101,2024,Fall,Social Work,MSW,Graduate,Female,Black,30,International,Yes,Yes,10142.0,18,18,99.3,85.7,90.9,2,3,1,3.47,Low,0.778,Yes,0.645,Yes
S00102,2026,Fall,Public Health,MPH,Graduate,Male,White,30,In-state,No,Yes,5844.0,21,21,100.0,90.7,57.2,2,1,2,3.53,Low,0.752,Yes,0.597,No
S00103,2024,Spring,Nutrition,MS Nutrition,Graduate,Female,Asian,33,Out-of-state,No,No,8547.0,24,24,100.0,88.6,68.6,2,0,1,3.18,Low,0.707,Yes,0.549,Yes
S00104,2026,Fall,Health Administration,BS Health Administration,Undergraduate,Male,Multiracial,18,In-state,No,No,9736.0,31,31,99.5,67.8,78.9,4,2,3,3.36,Medium,0.615,Yes,0.584,Yes
S00105,2026,Spring,Health Administration,MHA,Graduate,Female,Asian,29,International,No,No,8489.0,24,22,92.2,88.1,64.1,0,2,0,3.42,Low,0.691,Yes,0.541,No
S00106,2022,Fall,Nutrition,MS Nutrition,Graduate,Female,Hispanic/Latino,22,In-state,No,Yes,8361.0,21,17,80.3,80.4,72.1,0,0,2,3.17,Medium,0.586,Yes,0.428,No
S00107,2025,Fall,Social Work,BSW,Undergraduate,Female,White,21,In-state,Yes,No,9856.0,24,23,97.0,69.5,92.2,4,0,3,2.95,Medium,0.605,Yes,0.488,No
S00108,2023,Fall,Health Administration,BS Health Administration,Undergraduate,Male,White,20,In-state,No,Yes,3842.0,32,26,81.4,65.2,43.0,4,1,2,2.48,High,0.294,Yes,0.133,Yes
S00109,2026,Spring,Health Administration,BS Health Administration,Undergraduate,Male,White,23,In-state,No,Yes,1137.0,33,30,91.0,87.7,69.0,2,2,1,2.71,Low,0.687,Yes,0.46,Yes
S00110,2026,Fall,Health Administration,BS Health Administration,Undergraduate,Female,White,20,In-state,No,No,8245.0,24,22,90.4,92.2,62.5,2,0,1,3.55,Low,0.741,Yes,0.633,Yes
S00111,2024,Fall,Data Science,BS Health Data Science,Undergraduate,Female,White,18,In-state,No,Yes,799.0,31,30,97.3,74.2,74.1,4,2,3,3.26,Low,0.748,No,0.576,Yes
S00112,2025,Spring,Social Work,BSW,Undergraduate,Female,Black,25,Out-of-state,Yes,No,4598.0,27,25,93.6,74.6,42.1,0,0,0,2.57,High,0.274,No,0.131,No
S00113,2024,Spring,Data Science,BS Health Data Science,Undergraduate,Female,Black,24,International,No,No,5532.0,27,23,85.0,74.6,73.0,0,2,5,2.35,High,0.328,No,0.149,No
S00114,2025,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Asian,23,In-state,No,No,7259.0,30,30,100.0,73.5,72.1,3,0,0,3.31,Low,0.676,No,0.558,No
S00115,2023,Spring,Data Science,BS Health Data Science,Undergraduate,Female,White,19,Out-of-state,No,No,12375.0,31,31,99.2,67.9,100.0,2,0,1,2.79,High,0.421,No,0.327,No
S00116,2023,Spring,Social Work,MSW,Graduate,Female,White,26,In-state,No,Yes,6091.0,18,17,96.1,67.0,80.7,1,0,2,2.77,Medium,0.519,No,0.299,Yes
S00117,2023,Spring,Nutrition,MS Nutrition,Graduate,Female,Hispanic/Latino,34,In-state,Yes,No,5386.0,24,23,96.2,81.7,66.9,1,2,2,3.57,Low,0.733,Yes,0.578,No
S00118,2023,Fall,Social Work,MSW,Graduate,Male,White,29,In-state,Yes,Yes,0.0,27,23,86.1,77.9,47.7,3,0,2,2.66,Medium,0.547,No,0.298,No
S00119,2025,Spring,Data Science,BS Health Data Science,Undergraduate,Male,Asian,21,Out-of-state,No,No,8408.0,27,27,100.0,82.7,93.7,1,5,0,4.0,Low,0.815,Yes,0.778,Yes
S00120,2022,Spring,Public Health,BS Public Health,Undergraduate,Female,Multiracial,20,International,No,Yes,7356.0,33,31,95.2,79.3,65.6,2,0,1,3.49,Low,0.692,No,0.604,Yes
S00121,2024,Spring,Health Administration,BS Health Administration,Undergraduate,Male,White,23,Out-of-state,No,Yes,6162.0,31,29,92.7,84.4,69.5,0,2,0,3.43,Low,0.695,Yes,0.582,No
S00122,2024,Fall,Nutrition,BS Nutrition,Undergraduate,Male,Asian,21,In-state,No,No,1709.0,33,33,100.0,92.6,80.7,2,4,0,3.59,Low,0.833,Yes,0.754,Yes
S00123,2023,Fall,Data Science,BS Health Data Science,Undergraduate,Female,White,25,In-state,No,No,7343.0,32,31,95.5,100.0,60.7,1,1,1,3.18,Low,0.713,Yes,0.613,Yes
S00124,2025,Fall,Social Work,MSW,Graduate,Male,Hispanic/Latino,29,Out-of-state,Yes,Yes,4142.0,27,26,97.1,74.2,50.8,2,0,1,3.26,Low,0.633,No,0.43,No
S00125,2022,Fall,Social Work,BSW,Undergraduate,Female,Hispanic/Latino,23,In-state,No,No,9896.0,33,33,100.0,83.6,100.0,3,3,1,3.18,Low,0.761,Yes,0.691,Yes
S00126,2025,Fall,Data Science,BS Health Data Science,Undergraduate,Female,Hispanic/Latino,19,In-state,No,No,10175.0,24,24,100.0,100.0,69.9,4,0,1,3.45,Low,0.794,Yes,0.721,Yes
S00127,2023,Spring,Data Science,BS Health Data Science,Undergraduate,Female,Black,22,In-state,No,No,6667.0,30,30,100.0,99.4,69.7,4,1,3,3.18,Low,0.784,Yes,0.687,No
S00128,2024,Fall,Health Administration,BS Health Administration,Undergraduate,Female,Black,21,In-state,Yes,No,1493.0,31,27,88.0,75.9,76.0,3,2,2,2.84,Medium,0.627,Yes,0.445,No
S00129,2023,Spring,Public Health,BS Public Health,Undergraduate,Male,Asian,21,In-state,Yes,No,6689.0,31,31,100.0,84.7,58.0,3,0,0,2.89,Low,0.63,Yes,0.473,Yes
S00130,2024,Spring,Data Science,BS Health Data Science,Undergraduate,Female,White,21,In-state,No,No,8666.0,27,25,93.5,87.4,63.5,8,1,1,3.74,Low,0.824,Yes,0.766,Yes
S00131,2022,Spring,Nutrition,BS Nutrition,Undergraduate,Female,Asian,20,In-state,No,No,7494.0,31,31,100.0,90.3,71.2,2,3,5,4.0,Low,0.811,No,0.787,Yes
S00132,2023,Fall,Health Administration,BS Health Administration,Undergraduate,Female,Hispanic/Latino,21,Out-of-state,Yes,Yes,6845.0,33,33,98.9,68.4,94.6,6,3,3,2.97,Medium,0.673,Yes,0.592,No
S00133,2024,Fall,Public Health,BS Public Health,Undergraduate,Male,White,22,In-state,Yes,Yes,3426.0,24,22,90.4,63.7,79.5,1,3,3,1.86,High,0.264,Yes,0.084,No
S00134,2025,Spring,Social Work,MSW,Graduate,Female,Hispanic/Latino,39,International,No,No,8415.0,21,19,90.8,91.4,100.0,4,1,1,3.36,Low,0.842,Yes,0.719,Yes
S00135,2026,Fall,Social Work,BSW,Undergraduate,Male,Hispanic/Latino,21,In-state,No,No,5389.0,27,27,100.0,70.9,73.8,0,1,2,4.0,Medium,0.677,No,0.647,No
S00136,2023,Spring,Public Health,BS Public Health,Undergraduate,Female,Black,23,In-state,No,No,8823.0,32,32,100.0,76.0,54.3,3,2,2,3.82,Low,0.693,Yes,0.653,No
S00137,2024,Spring,Data Science,MS Health Data Science,Graduate,Male,Hispanic/Latino,25,In-state,Yes,Yes,5454.0,18,18,97.3,66.5,69.3,5,1,3,3.13,Medium,0.62,Yes,0.426,No
S00138,2025,Fall,Social Work,BSW,Undergraduate,Female,Black,21,In-state,No,No,5689.0,27,25,91.4,71.5,77.6,2,2,1,3.06,Low,0.643,Yes,0.448,Yes
S00139,2025,Spring,Social Work,BSW,Undergraduate,Female,Black,23,Out-of-state,Yes,Yes,7918.0,24,22,90.8,75.3,81.0,1,0,0,3.34,Low,0.676,No,0.521,Yes
